,method,name
2,"  void <extra_id_0>() {    var file1 = new File(""fish1.out"");    file1.delete();    var file2 = new File(""fish2.out"");    file2.delete();  }",cleanup
1220,  public static void <extra_id_0>(final String[] args) {    var view = new View();    view.createView();  },main
1345,"  public void <extra_id_0>() throws InterruptedException {    var item = queue.take();    LOGGER.info(""Consumer [{}] consume item [{}] produced by [{}]"", name,        item.id(), item.producer());  }",consume
407,  public void <extra_id_0>() {    this.value.remove();  }  @Override,remove
1472,  void <extra_id_0>() {    var albumListPage = albumPage.cancelChanges();    albumListPage.navigateToPage();    assertTrue(albumListPage.isAt());  },testCancelChanges
1100,"  public Saga <extra_id_0>(Saga saga) {    var inValue = saga.getCurrentValue();    LOGGER.info(""The chapter '{}' has been started. ""            + ""The data {} has been stored or calculated successfully"",        getName(), inValue);    saga.setCurrentStatus(Saga.ChapterResult.SUCCESS);    saga.setCurrentValue(inValue);    return saga;  }  @Override",process
2225,  protected void <extra_id_0>() {    var previousTime = System.currentTimeMillis();    var lag = 0L;    while (isGameRunning()) {      var currentTime = System.currentTimeMillis();      var elapsedTime = currentTime - previousTime;      previousTime = currentTime;      lag += elapsedTime;      processInput();      while (lag >= MS_PER_FRAME) {        update();        lag -= MS_PER_FRAME;      }      render();    }  },processGameLoop
2991,    protected void <extra_id_0>(ILoggingEvent eventObject) {      log.add(eventObject);    },append
3765,"  void <extra_id_0>() {    var remoteService = new RemoteService(new StaticRandomProvider(0.2));    var result = remoteService.doRemoteFunction(10);    assertEquals(100, result);  }",testSuccessfulCall
3737,"  public void <extra_id_0>() {    LOGGER.info(""The item flies and strikes the enemies finally returning to owner's hand."");  }  @Override",apply
1158,"  public static void <extra_id_0>(String[] args) {    var queue = new SimpleMessageQueue(10000);    final var producer = new Producer(""PRODUCER_1"", queue);    final var consumer = new Consumer(""CONSUMER_1"", queue);    new Thread(consumer::consume).start();    new Thread(() -> {      producer.send(""hand shake"");      producer.send(""some very important information"");      producer.send(""bye!"");      producer.stop();    }).start();  }",main
635,"  public Service <extra_id_0>(String serviceName) {    if (serviceCache.containsKey(serviceName)) {      var cachedService = serviceCache.get(serviceName);      var name = cachedService.getName();      var id = cachedService.getId();      LOGGER.info(""(cache call) Fetched service {}({}) from cache... !"", name, id);      return cachedService;    }    return null;  }  /**   * Adds the service into the cache map.   *   * @param newService a {@link Service}   */",getService
3102,"  void <extra_id_0>() throws Exception {    List<Tobacco> tobaccos = List.of(        new OldTobyTobacco(),        new RivendellTobacco(),        new SecondBreakfastTobacco()    );    // Verify if the sorceress is smoking the correct tobacco ...    tobaccos.forEach(tobacco -> {      final var advancedSorceress = new AdvancedSorceress();      advancedSorceress.setTobacco(tobacco);      advancedSorceress.smoke();      String lastMessage = appender.getLastMessage();      assertEquals(""AdvancedSorceress smoking "" + tobacco.getClass().getSimpleName(), lastMessage);    });    // ... and nothing else is happening.    assertEquals(tobaccos.size(), appender.getLogSize());  }",testSmokeEveryThing
3293,  void <extra_id_0>(DataBus dataBus);,setDataBus
3443,"    void <extra_id_0>() throws Exception {        for (double d = 0.1; d < 2; d = d + 0.1) {            paymentTime *= d;            queueTaskTime *= d;            messageTime *= d;            employeeTime *= d;            queueTime *= d;            Commander c = buildCommanderObjectWithoutDB();            var order = new Order(new User(""K"", null), ""pen"", 1f);            for (Order.MessageSent ms : Order.MessageSent.values()) {                c.placeOrder(order);                assertFalse(StringUtils.isBlank(order.id));            }        }    }    @Test",testPlaceOrderWithoutDatabase
1381,  public int <extra_id_0>() {    return 0;  }  @Override,getTreeSize
3258,"  public void <extra_id_0>(String username, String name, String email) {    var author = new Author(username, name, email);    try (var session = sessionFactory.openSession()) {      session.beginTransaction();      session.save(author);      session.getTransaction().commit();    }  }  @Override",authorCreated
406,"    public void <extra_id_0>() throws InterruptedException {        int initialValue = 1234567890;        int threadSize = 2;        ExecutorService executor = Executors.newFixedThreadPool(threadSize);        WithThreadLocal threadLocal = new WithThreadLocal(ThreadLocal.withInitial(() -> initialValue));        for (int i = 0; i < threadSize; i++) {            executor.submit(threadLocal);        }        executor.awaitTermination(3, TimeUnit.SECONDS);        threadLocal.remove();        List<String> lines = outContent.toString().lines().toList();        Assertions.assertTrue(lines.stream()                .allMatch(line -> line.endsWith(String.valueOf(initialValue))));    }",withThreadLocal
550,  List<Spellbook> <extra_id_0>();,findAllSpellbooks
221,  void <extra_id_0>() {    world.stop();    assertFalse(world.isRunning);  }  @Test,testStop
1759,  public Creature <extra_id_0>() {    return this.locker;  }  @Override,getLocker
2212,"  void <extra_id_0>() {    gameLoop.run();    Assertions.assertEquals(GameStatus.RUNNING, gameLoop.status);  }  @Test",testRun
2013,  public void <extra_id_0>(String depositNumber) {    this.depositNumber = depositNumber;  },setDepositNumber
703,  public boolean <extra_id_0>() {    return lock;  },isLock
3058,"  private Money <extra_id_0>() {    if (ChronoUnit.DAYS.between(LocalDate.now(), expirationDate)            < DAYS_UNTIL_EXPIRATION_WHEN_DISCOUNT_ACTIVE) {      return price.multipliedBy(DISCOUNT_RATE, RoundingMode.DOWN);    }    return Money.zero(USD);  }",calculateDiscount
3882,  public int <extra_id_0>() {    return this.status;  },getStatus
1194,"  void <extra_id_0>(){    View view = new View();    view.createView();    view.getModel().setSelectedAlbumNumber(2);    view.loadFromMod();    assertEquals(albumList[1], view.getModel().getTitle());  }  @Test",testLoad_1
3065,"    void <extra_id_0>() throws SQLException {        var product = productDao.findByName(""product"");        assertTrue(product.isEmpty());        TestUtils.executeSQL(INSERT_PRODUCT_SQL, dataSource);        product = productDao.findByName(""product"");        assertTrue(product.isPresent());        assertEquals(""product"", product.get().getName());        assertEquals(Money.of(USD, 100), product.get().getPrice());        assertEquals(LocalDate.parse(""2021-06-27""), product.get().getExpirationDate());    }    @Test",shouldFindProductByName
2773,  void <extra_id_0>();,stop
3708,  UserAccount <extra_id_0>(UserAccount userAccount);  /**   * Update record or Insert if not exists.   *   * @param userAccount {@link UserAccount}   * @return {@link UserAccount}   */,updateDb
2803,"  public Order <extra_id_0>(int id) throws SQLException {    Order order = null;    queyOrderById.setInt(1, id);    try (var rSet = queyOrderById.executeQuery()) {      queyOrderById.setInt(1, id);      if (rSet.next()) {        var address = new ShippingAddress(rSet.getString(4),            rSet.getString(5), rSet.getString(6));        order = new Order(rSet.getInt(1), rSet.getString(2), rSet.getString(3), address);      }      rSet.close();    } catch (Exception e) {      LOGGER.error(e.getLocalizedMessage(), e.getCause());    }    return order;  }  @Override",queryOrder
945,  public Message <extra_id_0>() {    try {      return blkQueue.poll();    } catch (Exception e) {      LOGGER.error(e.getMessage());    }    return null;  },retrieveMsg
3335,"  public void <extra_id_0>(GameObject gameObject) {    gameObject.updateCoordinate();    LOGGER.info(gameObject.getName() + ""'s coordinate has been changed."");  }",update
3716,"  public UserAccount <extra_id_0>(final UserAccount userAccount) {    Document id = new Document(USER_ID, userAccount.getUserId());    Document dataSet = new Document(USER_NAME, userAccount.getUserName())            .append(ADD_INFO, userAccount.getAdditionalInfo());    db.getCollection(CachingConstants.USER_ACCOUNT)            .updateOne(id, new Document(""$set"", dataSet));    return userAccount;  }  /**   * Update data if exists.   *   * @param userAccount {@link UserAccount}   * @return {@link UserAccount}   */  @Override",updateDb
1243,"  void <extra_id_0>() {    final var stew = new ImmutableStew(1, 2, 3, 4);    final var expectedMessage = ""Mixing the immutable stew we find: 1 potatoes, ""        + ""2 carrots, 3 meat and 4 peppers"";    for (var i = 0; i < 20; i++) {      stew.mix();      assertEquals(expectedMessage, appender.getLastMessage());    }    assertEquals(20, appender.getLogSize());  }",testMix
2823,  public boolean <extra_id_0>() {    return damaged;  },isDamaged
1356,"  void <extra_id_0>() {    UserModel model = new UserModel();    model.setName(""Lily"");    assertEquals(""Lily"", model.getName());  }  /**   * Verify if a user can set an email properly   */  @Test",testSetName
1986,  public String <extra_id_0>(Order order) {    return filterManager.filterRequest(order);  },sendRequest
2075,"  public void <extra_id_0>() {    try {      // Wait a while for existing tasks to terminate      if (awaitTerminationWithTimeout()) {        LOGGER.info(""Health check executor did not terminate in time"");        // Attempt to cancel currently executing tasks        healthCheckExecutor.shutdownNow();        // Wait again for tasks to respond to being cancelled        if (awaitTerminationWithTimeout()) {          LOGGER.error(""Health check executor did not terminate"");        }      }    } catch (InterruptedException ie) {      // Preserve interrupt status      Thread.currentThread().interrupt();      // (Re-)Cancel if current thread also interrupted      healthCheckExecutor.shutdownNow();      // Log the stack trace for interrupted exception      LOGGER.error(""Shutdown of the health check executor was interrupted"", ie);    }  }",shutdown
1234,"  public void <extra_id_0>() {    LOGGER        .info(""Mixing the immutable stew we find: {} potatoes, {} carrots, {} meat and {} peppers"",            data.numPotatoes(), data.numCarrots(), data.numMeat(), data.numPeppers());  }",mix
1975,"  void <extra_id_0>() {    final var order = new Order();    order.setName(EXPECTED_VALUE);    assertEquals(EXPECTED_VALUE, order.getName());  }  @Test",testSetName
775,  public void <extra_id_0>(boolean f) {    this.isFlirty = f;  },setFlirtiness
379,  public int <extra_id_0>() {    return timeMs;  }  @Override,getTimeMs
2252,  Optional<LotteryTicketId> <extra_id_0>(LotteryTicket ticket);  /**   * Get all lottery tickets.   */,save
1340,  void <extra_id_0>() {    assertDoesNotThrow(() -> App.main(new String[]{}));  },shouldExecuteApplicationWithoutException
1431,"  private String <extra_id_0>(String type, String sortBy, SortOrder sortOrder) {    return String.format(""Requesting shoes of type \""%s\"" sorted by \""%s\"" in \""%sending\"" order.."",        type,        sortBy,        sortOrder.getValue());  }",getQuerySummary
3568,"  void <extra_id_0>() {    var priceController = new PriceController();    var price = priceController.getPrice();    assertEquals(""20"", price);  }",testgetPrice
83,"  public void <extra_id_0>() {    if (context == null || context.size() == 0) {      return;    }    LOGGER.info(""Commit started"");    if (context.containsKey(UnitActions.INSERT.getActionValue())) {      commitInsert();    }    if (context.containsKey(UnitActions.MODIFY.getActionValue())) {      commitModify();    }    if (context.containsKey(UnitActions.DELETE.getActionValue())) {      commitDelete();    }    LOGGER.info(""Commit finished."");  }",commit
1852,"  void <extra_id_0>() throws InterruptedException {    var taskSet = new TaskSet();    taskSet.addTask(new Task(100));    Task task = taskSet.getTask();    assertEquals(100, task.getTime());    assertEquals(0, taskSet.getSize());  }",testGetTask
907,"  void <extra_id_0>() throws Exception {    var executeService = Executors.newFixedThreadPool(2);    var lock = new ReaderWriterLock();    var reader1 = new Reader(""Reader 1"", lock.readLock());    var writer1 = new Writer(""Writer 1"", lock.writeLock());    executeService.submit(writer1);    // Let writer1 execute first    Thread.sleep(150);    executeService.submit(reader1);    executeService.shutdown();    try {      executeService.awaitTermination(10, TimeUnit.SECONDS);    } catch (InterruptedException e) {      LOGGER.error(""Error waiting for ExecutorService shutdown"", e);    }    assertTrue(appender.logContains(""Writer 1 begin""));    assertTrue(appender.logContains(""Writer 1 finish""));    assertTrue(appender.logContains(""Reader 1 begin""));    assertTrue(appender.logContains(""Reader 1 finish""));  }",testWriteAndRead
2494,  public Optional<E> <extra_id_0>() {    var resultIterator = first(1).iterator();    return resultIterator.hasNext() ? Optional.of(resultIterator.next()) : Optional.empty();  }  /**   * Can be used to collect objects from the iteration.   *   * @param count defines the number of objects to return   * @return the same FluentIterable with a collection decimated to a maximum of 'count' first   *     objects.   */  @Override,first
3226,"  public String[] <extra_id_0>() {    return new String[]{        dependentObjects[0].getData(), dependentObjects[1].getData()    };  }",getData
357,  public void <extra_id_0>() {    strategy.execute();  },goToBattle
495,"  void <extra_id_0>() {    try {      shard.storeData(data);      var field = Shard.class.getDeclaredField(""dataStore"");      field.setAccessible(true);      var dataMap = (Map<Integer, Data>) field.get(shard);      assertEquals(1, dataMap.size());      assertEquals(data, dataMap.get(1));    } catch (NoSuchFieldException | IllegalAccessException e) {      fail(""Fail to modify field access."");    }  }  @Test",testStoreData
2232,  protected void <extra_id_0>() {    try {      var lag = new SecureRandom().nextInt(200) + 50;      Thread.sleep(lag);    } catch (InterruptedException e) {      logger.error(e.getMessage());      /* Clean up whatever needs to be handled before interrupting  */      Thread.currentThread().interrupt();    }  }  /**   * Render game frames to screen. Here we print bullet position to simulate   * this process.   */,processInput
1383,  public Node <extra_id_0>() {    return null;  }  @Override,getRight
2143,  void <extra_id_0>(Throwable throwable);  /**   * This is where the computation of task should reside. This method is called in context of   * background thread.   */  @Override,onError
1076,  public SagaResult <extra_id_0>() {    if (finished) {      return forward          ? SagaResult.FINISHED          : SagaResult.ROLLBACKED;    }    return SagaResult.PROGRESS;  }  /**   * add chapter to saga.   *   * @param name chapter name   * @return this   */,getResult
1960,"  public User <extra_id_0>(Integer id) {    LOGGER.info(""get user at: "" + id);    User user = null;    try (var session = factory.openSession()) {      var tx = session.beginTransaction();      user = session.get(User.class, id);      tx.commit();    } catch (HibernateException e) {      LOGGER.debug(""fail to get user"", e);    }    return user;  }  /**   * Close hibernate.   */",getUser
254,"  public int <extra_id_0>(int... nums) {    LOGGER.info(""Arithmetic sum {}"", VERSION);    return source.accumulateSum(nums);  }  /**   * Accumulate multiplication.   * @param nums numbers need to multiply together   * @return accumulate multiplication   */",sum
601,  void <extra_id_0>() {    assertDoesNotThrow(() -> App.main(new String[]{}));  },shouldExecuteApplicationWithoutException
3039,"  public void <extra_id_0>(Product product) {    LOGGER.info(        String.format(            ""%s want to return %s($%.2f)..."",            name, product.getName(), product.getSalePrice().getAmount()));    if (purchases.contains(product)) {      try {        customerDao.deleteProduct(product, this);        purchases.remove(product);        receiveMoney(product.getSalePrice());        LOGGER.info(String.format(""%s returned %s!"", name, product.getName()));      } catch (SQLException ex) {        LOGGER.error(ex.getMessage());      }    } else {      LOGGER.error(String.format(""%s didn't buy %s..."", name, product.getName()));    }  }  /**   * Print customer's purchases.   */",returnProduct
2582,"  private ProbabilisticThreatAwareSystem <extra_id_0>(      final Predicate<? super ProbableThreat> predicate) {    return new SimpleProbabilisticThreatAwareSystem(this.systemId, filteredItems(predicate));  }",filteredGroup
1903,"  void <extra_id_0>() {    var message = new Message(MessageType.HEARTBEAT, """");    assertEquals(MessageType.HEARTBEAT, message.getType());  }  @Test",testGetType
1544,  public void <extra_id_0>() {    isDrunk = false;  }  @Override,makeSober
3361,"  private void <extra_id_0>(Order order, Order o) {    if ((o.messageSent.equals(MessageSent.NONE_SENT) || o.messageSent        .equals(MessageSent.PAYMENT_TRYING))        && System.currentTimeMillis() - o.createdTime < messageTime) {      var qt = new QueueTask(order, TaskType.MESSAGING, 2);      updateQueue(qt);      LOG.info(ORDER_ID + "": Error in sending Payment Success message, trying to""          + "" queue task and add to employee handle.."", order.id);      employeeHandleIssue(order);    }  }",handleSuccessMessageErrorIssue
2237,  private static PlayerDetails <extra_id_0>() {    return PLAYERS.get(RANDOM.nextInt(PLAYERS.size()));  },getRandomPlayerDetails
2299,"  void <extra_id_0>(PlayerDetails details, int prizeAmount);  /**   * error paying the prize.   */",ticketWon
1754,"  void <extra_id_0>() {    final var star = new Star(StarType.SUN, 1, 2);    final var firstMemento = star.getMemento();    assertEquals(""sun age: 1 years mass: 2 tons"", star.toString());    star.timePasses();    final var secondMemento = star.getMemento();    assertEquals(""red giant age: 2 years mass: 16 tons"", star.toString());    star.timePasses();    final var thirdMemento = star.getMemento();    assertEquals(""white dwarf age: 4 years mass: 128 tons"", star.toString());    star.timePasses();    assertEquals(""supernova age: 8 years mass: 1024 tons"", star.toString());    star.setMemento(thirdMemento);    assertEquals(""white dwarf age: 4 years mass: 128 tons"", star.toString());    star.timePasses();    assertEquals(""supernova age: 8 years mass: 1024 tons"", star.toString());    star.setMemento(secondMemento);    assertEquals(""red giant age: 2 years mass: 16 tons"", star.toString());    star.setMemento(firstMemento);    assertEquals(""sun age: 1 years mass: 2 tons"", star.toString());  }",testSetMemento
2679,"  private void <extra_id_0>() {    // If there are no pending requests, do nothing.    if (headIndex == tailIndex) {      return;    }    try {      var audioStream = getPendingAudio()[headIndex].getStream();      headIndex++;      var clip = AudioSystem.getClip();      clip.open(audioStream);      clip.start();    } catch (LineUnavailableException e) {      LOGGER.trace(""Error occurred while loading the audio: The line is unavailable"", e);    } catch (IOException e) {      LOGGER.trace(""Input/Output error while loading the audio"", e);    } catch (IllegalArgumentException e) {      LOGGER.trace(""The system doesn't support the sound: "" + e.getMessage(), e);    }  }  /**   * Returns the AudioInputStream of a file.   *   * @param filePath is the path of the audio file   * @return AudioInputStream   * @throws UnsupportedAudioFileException when the audio file is not supported   * @throws IOException                   when the file is not readable   */",update
1572,"  private static String <extra_id_0>(final String file) {    String firstLine = null;    try (var bufferedReader = new BufferedReader(new FileReader(file))) {      while (bufferedReader.ready()) {        /* Read the line */        firstLine = bufferedReader.readLine();      }      LOGGER.info(""ModuleTest::readFirstLine() : firstLine : "" + firstLine);    } catch (final IOException e) {      LOGGER.error(""ModuleTest::readFirstLine()"", e);    }    return firstLine;  }",readFirstLine
1840,  public void <extra_id_0>() {    this.finished = true;  },setFinished
3555,  void <extra_id_0>(String response);  // Get the current state of circuit breaker,recordFailure
1633,  public static void <extra_id_0>() {    bank = null;  }  @Test,TearDown
2518,"  void <extra_id_0>() {    var blacksmith = new OrcBlacksmith();    var weapon = blacksmith.manufactureWeapon(WeaponType.AXE);    verifyWeapon(weapon, WeaponType.AXE, OrcWeapon.class);  }  /**   * Testing {@link ElfBlacksmith} to produce a SHORT_SWORD asserting that the Weapon is an instance   * of {@link ElfWeapon}.   */  @Test",testOrcBlacksmithWithAxe
3036,  void <extra_id_0>(Product product) throws SQLException;,update
2989,  void <extra_id_0>() {    appender.stop();  }  /**   * The number of threads used to stress test the locking of the {@link Inventory#addItem(Item)}   * method   */,tearDown
2025,"  void <extra_id_0>() {    MockitoAnnotations.openMocks(this);    when(cacheManager.getCache(""health-check"")).thenReturn(cache);    customHealthIndicator =        new CustomHealthIndicator(healthChecker, cacheManager, healthCheckRepository);  }  /**   * Test case for the `health()` method when the database is up.   *   * <p>Asserts that when the `health()` method is called and the database is up, it returns a   * Health object with Status.UP.   */  @Test",setUp
1257,  public int <extra_id_0>() {    return log.size();  },getLogSize
1304,"  void <extra_id_0>() {    var promise = new Promise<>();    var exceptionHandler = mock(Consumer.class);    promise.onError(exceptionHandler);    var exception = new Exception(""barf!"");    promise.fulfillExceptionally(exception);    verify(exceptionHandler).accept(eq(exception));  }",exceptionHandlerIsCalledWhenPromiseIsFulfilledExceptionally
1135,"  public void <extra_id_0>(Headers header, String value) {    headers.put(header, value);  }  @Override",addHeader
1590,"  void <extra_id_0>() {    final var server = mock(Server.class);    when(server.getHost()).thenReturn(""testhost"");    when(server.getPort()).thenReturn(1234);    doNothing().when(server).serve(any(Request.class));    final var loadBalancer = new LoadBalancer();    loadBalancer.addServer(server);    verifyNoMoreInteractions(server);    final var request = new Request(""test"");    for (var i = 0; i < loadBalancer.getNoOfServers() * 2; i++) {      loadBalancer.serverRequest(request);    }    verify(server, times(2)).serve(request);    verifyNoMoreInteractions(server);  }",testServe
147,"  private void <extra_id_0>(int count) throws Exception {    try (var allRooms = dao.getAll()) {      assertEquals(count, allRooms.count());    }  }  /**   * An arbitrary number which does not correspond to an active Room id.   *   * @return an int of a room id which doesn't exist   */",assertRoomCountIs
3410,"  public QueueTask <extra_id_0>(QueueTask t) {    data.enqueue(t);    return t;    //even if same thing queued twice, it is taken care of in other dbs  }  /**   * peek method returns object at front without removing it from queue.   *   * @return object at front of queue   * @throws IsEmptyException             if queue is empty   */",add
277,"  protected void <extra_id_0>(String soundName, int volume) {    logger.info(""Play {} with volume {}"", soundName, volume);  }  /**   * Spawn particles for the superpower.   * @param particleType Particle type.   * @param count Count of particles to be spawned.   */",playSound
2242,"  public void <extra_id_0>(LotteryService service, Scanner scanner) {    logger.info(""What is your email address?"");    var email = readString(scanner);    logger.info(""What is your bank account number?"");    var account = readString(scanner);    logger.info(""What is your phone number?"");    var phone = readString(scanner);    var details = new PlayerDetails(email, account, phone);    logger.info(""Give 4 comma separated lottery numbers?"");    var numbers = readString(scanner);    try {      var chosen = Arrays.stream(numbers.split("",""))          .map(Integer::parseInt)          .collect(Collectors.toSet());      var lotteryNumbers = LotteryNumbers.create(chosen);      var lotteryTicket = new LotteryTicket(new LotteryTicketId(), details, lotteryNumbers);      service.submitTicket(lotteryTicket).ifPresentOrElse(          (id) -> logger.info(""Submitted lottery ticket with id: {}"", id),          () -> logger.info(""Failed submitting lottery ticket - please try again."")      );    } catch (Exception e) {      logger.info(""Failed submitting lottery ticket - please try again."");    }  }  @Override",submitTicket
1009,"  void <extra_id_0>() {    SagaOrchestrator sagaOrchestrator = new SagaOrchestrator(newSaga(), serviceDiscovery());    Saga.Result badOrder = sagaOrchestrator.execute(""bad_order"");    Saga.Result crashedOrder = sagaOrchestrator.execute(""crashed_order"");    assertEquals(Saga.Result.ROLLBACK, badOrder);    assertEquals(Saga.Result.CRASHED, crashedOrder);  }",execute
720,"  public ReceiptViewModel <extra_id_0>(String userName, String itemName) {    Db.User user = Db.getInstance().findUserByUserName(userName);    if (user == null) {      return new InvalidUser(userName);    }    Db.Account account = Db.getInstance().findAccountByUser(user);    return purchase(user, account, itemName);  }  /**   * Domain purchase with user, account and itemName,   * with validation for whether product is out of stock   * and whether user has insufficient funds in the account.   *   * @param user in Db   * @param account in Db   * @param itemName of the item   * @return instance of ReceiptViewModel   */",purchase
2962,    Long <extra_id_0>();  }  /**   * Use this interface whenever you want to provide the product Name in your DTO.   */,getId
3395,  public ShippingRequest <extra_id_0>(String trasnactionId) {    return data.get(trasnactionId);  },get
3694,  public void <extra_id_0>(final Node node) {    if (node.previous != null) {      node.previous.next = node.next;    } else {      head = node.next;    }    if (node.next != null) {      node.next.previous = node.previous;    } else {      end = node.previous;    }  }  /**   * Move node to the front of the list.   *   * @param node {@link Node}   */,remove
3477,"  void <extra_id_0>() {    var res = expandedFinder(""It was"", ""kingdom"").find(text());    assertEquals(3, res.size());    assertEquals( ""It was many and many a year ago,"", res.get(0));    assertEquals( ""In a kingdom by the sea,"", res.get(1));    assertEquals( ""In this kingdom by the sea;"", res.get(2));  }",expandedFinderTest
1767,"  public void <extra_id_0>() {    // The target object for this example.    var sword = new SwordOfAragorn();    // Creation of creatures.    List<Creature> creatures = new ArrayList<>();    for (var i = 0; i < WORKERS; i++) {      creatures.add(new Elf(String.format(""Elf %s"", i)));      creatures.add(new Orc(String.format(""Orc %s"", i)));      creatures.add(new Human(String.format(""Human %s"", i)));    }    int totalFiends = WORKERS * MULTIPLICATION_FACTOR;    ExecutorService service = Executors.newFixedThreadPool(totalFiends);    // Attach every creature and the sword is a Fiend to fight for the sword.    for (var i = 0; i < totalFiends; i = i + MULTIPLICATION_FACTOR) {      service.submit(new Feind(creatures.get(i), sword));      service.submit(new Feind(creatures.get(i + 1), sword));      service.submit(new Feind(creatures.get(i + 2), sword));    }    // Wait for program to terminate.    try {      if (!service.awaitTermination(WAIT_TIME, TimeUnit.SECONDS)) {        LOGGER.info(""The master of the sword is now {}."", sword.getLocker().getName());      }    } catch (InterruptedException e) {      LOGGER.error(e.getMessage());      Thread.currentThread().interrupt();    } finally {      service.shutdown();    }  }",run
1124,  private T <extra_id_0>(int childIndex) {    return queue[parentIndex(childIndex)];  },parent
3782,  public String <extra_id_0>() {    return name().toLowerCase();  },toString
672,  public String <extra_id_0>() {    return name;  }  @Override,getName
3635,"  void <extra_id_0>() {    var wizardNumber = 0;    var bytecode = new int[5];    bytecode[0] = LITERAL.getIntValue();    bytecode[1] = wizardNumber;    bytecode[2] = LITERAL.getIntValue();    bytecode[3] = 50;                        // health amount    bytecode[4] = SET_HEALTH.getIntValue();    var vm = new VirtualMachine();    vm.execute(bytecode);    assertEquals(50, vm.getWizards()[wizardNumber].getHealth());  }  @Test",testSetHealth
2233,"  protected void <extra_id_0>() {    var position = controller.getBulletPosition();    logger.info(""Current bullet position: {}"", position);  }  /**   * execute game loop logic.   */",render
1862,"  void <extra_id_0>() {    appender.stop();  }  /**   * Verify if a party action triggers the correct output to the std-Out   */  @ParameterizedTest  @MethodSource(""dataProvider"")",tearDown
