,method,name
2886,  void <extra_id_0>() {    appender.stop();  }  @Test,tearDown
1475,  void <extra_id_0>() {    loginPage.navigateToPage();  }  @Test,setUp
822,"  private static void <extra_id_0>() throws Exception {    final var retry = new RetryExponentialBackoff<>(        new FindCustomer(""123"", new CustomerNotFoundException(NOT_FOUND)),        6,  //6 attempts        30000, //30 s max delay between attempts        e -> CustomerNotFoundException.class.isAssignableFrom(e.getClass())    );    op = retry;    final var customerId = op.perform();    LOG.info(String.format(        ""However, retrying the operation while ignoring a recoverable error will eventually yield ""            + ""the result %s after a number of attempts %s"", customerId, retry.attempts()    ));  }",errorWithRetryExponentialBackoff
3715,"  public UserAccount <extra_id_0>(final UserAccount userAccount) {    db.getCollection(USER_ACCOUNT).insertOne(            new Document(USER_ID, userAccount.getUserId())                    .append(USER_NAME, userAccount.getUserName())                    .append(ADD_INFO, userAccount.getAdditionalInfo())    );    return userAccount;  }  /**   * Update DB.   *   * @param userAccount {@link UserAccount}   * @return {@link UserAccount}   */  @Override",writeToDb
2398,  void <extra_id_0>() {    assertDoesNotThrow(() -> App.main(new String[]{}));  },shouldExecuteApplicationWithoutException
464,"  void <extra_id_0>() {      Country country = new Country(              86,              ""China"",              ""Asia"",              ""Chinese""      );      country.setCode(971);      country.setName(""UAE"");      country.setContinents(""West-Asia"");      country.setLanguage(""Arabic"");      assertEquals(971, country.getCode());      assertEquals(""UAE"", country.getName());      assertEquals(""West-Asia"", country.getContinents());      assertEquals(""Arabic"", country.getLanguage());  }  @Test",testSetMethod
1376,  int <extra_id_0>();,getTreeSize
2844,"  void <extra_id_0>() {    testCollision(        new Meteoroid(1, 1, 3, 4),        false, false,        false, true    );  }  /**   * Test what happens we collide with ISS   */  @Test",testCollideMeteoroid
2000,  void <extra_id_0>(Filter filter);  /**   * Get next filter in chain after this.   */,setNext
242,"  public static void <extra_id_0>(String[] args) {    var statA = HeroStat.valueOf(10, 5, 0);    var statB = HeroStat.valueOf(10, 5, 0);    var statC = HeroStat.valueOf(5, 1, 8);    LOGGER.info(statA.toString());    LOGGER.info(statB.toString());    LOGGER.info(statC.toString());    LOGGER.info(""Is statA and statB equal : {}"", statA.equals(statB));    LOGGER.info(""Is statA and statC equal : {}"", statA.equals(statC));  }",main
1215,"  public void <extra_id_0>() {    var frame = new JFrame(""Album"");    var b1 = Box.createHorizontalBox();    frame.add(b1);    albumList = new JList<>(model.getAlbumList());    albumList.addMouseListener(new MouseAdapter() {      @Override      public void mouseClicked(final MouseEvent e) {        model.setSelectedAlbumNumber(albumList.getSelectedIndex() + 1);        loadFromMod();      }    });    b1.add(albumList);    var b2 = Box.createVerticalBox();    b1.add(b2);    txtArtist = new TextField();    txtTitle = new TextField();    txtArtist.setSize(WIDTH_TXT, HEIGHT_TXT);    txtTitle.setSize(WIDTH_TXT, HEIGHT_TXT);    chkClassical = new JCheckBox();    txtComposer = new TextField();    chkClassical.addActionListener(itemEvent -> {      txtComposer.setEditable(chkClassical.isSelected());      if (!chkClassical.isSelected()) {        txtComposer.setText("""");      }    });    txtComposer.setSize(WIDTH_TXT, HEIGHT_TXT);    txtComposer.setEditable(model.getIsClassical());    apply = new JButton(""Apply"");    apply.addMouseListener(new MouseAdapter() {      @Override      public void mouseClicked(final MouseEvent e) {        saveToMod();        loadFromMod();      }    });    cancel = new JButton(""Cancel"");    cancel.addMouseListener(new MouseAdapter() {      @Override      public void mouseClicked(final MouseEvent e) {        loadFromMod();      }    });    b2.add(txtArtist);    b2.add(txtTitle);    b2.add(chkClassical);    b2.add(txtComposer);    b2.add(apply);    b2.add(cancel);    frame.setDefaultCloseOperation(javax.swing.WindowConstants.EXIT_ON_CLOSE);    frame.setBounds(LOCATION_X, LOCATION_Y, WIDTH, HEIGHT);    frame.setVisible(true);  }",createView
292,  private String <extra_id_0>(Statement statement) throws Exception {    var log = tapSystemOutNormalized(statement);    return getLogContent(log);  },getLogContent
3196,"  void <extra_id_0>() {    MmaBantamweightFighter fighter = new MmaBantamweightFighter(""Joe"", ""Johnson"", ""The Geek"", ""Muay Thai"");    List<MmaFighter<?>> opponents = getOpponents();    List<MmaFighter<?>> challenged = new ArrayList<>();    opponents.forEach(challenger -> {      try {        ((MmaBantamweightFighter) challenger).fight(fighter);        challenged.add(challenger);      } catch (ClassCastException e) {          LOGGER.error(e.getMessage());      }    });    assertFalse(challenged.isEmpty());    assertTrue(challenged.stream().allMatch(c -> c instanceof MmaBantamweightFighter));  }",testFighterCanFightOnlyAgainstSameWeightOpponents
2576,  String <extra_id_0>();  /**   * Returns unique id of the threat.   *   * @return value representing threat id.   */,name
1024,"    public ChapterResult<Integer> <extra_id_0>(Integer value) {      records.add(""-3"");      return ChapterResult.success(value);    }  }  class Service4 extends Service<Integer> {    @Override    public String getName() {      return ""4"";    }    @Override    public ChapterResult<Integer> process(Integer value) {      records.add(""+4"");      return ChapterResult.failure(value);    }    @Override    public ChapterResult<Integer> rollback(Integer value) {      records.add(""-4"");      return ChapterResult.success(value);    }  }}",rollback
3166,  private int <extra_id_0>() {    return 999;  },getNonExistingCustomerId
806,"  void <extra_id_0>() {    try (final var ignored = new SlidingDoor(); final var ignored1 = new TreasureChest()) {      assertTrue(appender.logContains(""Sliding door opens.""));      assertTrue(appender.logContains(""Treasure chest opens.""));    }    assertTrue(appender.logContains(""Treasure chest closes.""));    assertTrue(appender.logContains(""Sliding door closes.""));  }  /**   * Logging Appender Implementation   */",testOpenClose
2224,  public float <extra_id_0>() {    return bullet.getPosition();  },getBulletPosition
2727,"  void <extra_id_0>() {    final var kingJoffrey = new KingJoffrey();    IntStream.range(0, Event.values().length).forEach(i -> {      assertEquals(i, appender.getLogSize());      var event = Event.values()[i];      kingJoffrey.onEvent(event);      final var expectedMessage = ""Received event from the King's Hand: "" + event.toString();      assertEquals(expectedMessage, appender.getLastMessage());      assertEquals(i + 1, appender.getLogSize());    });  }",testOnEvent
3034,  Optional<Product> <extra_id_0>(String name) throws SQLException;,findByName
2588,  public List<? extends Threat> <extra_id_0>() {    return new ArrayList<>(issues);  }  /**   * {@inheritDoc}   */  @Override,threats
1919,"  void <extra_id_0>() {    try {      final var bullyInstance = new BullyInstance(null, 1, 1);      var instanceClass = AbstractInstance.class;      var aliveField = instanceClass.getDeclaredField(""alive"");      aliveField.setAccessible(true);      aliveField.set(bullyInstance, false);      assertFalse(bullyInstance.isAlive());    } catch (NoSuchFieldException | IllegalAccessException e) {      fail(""Fail to access field alive."");    }  }  @Test",testIsAlive
2419,  private void <extra_id_0>(Action action) {    stores.forEach(store -> store.onAction(action));  },dispatchAction
625,  Nourishment <extra_id_0>() {    return model.getNourishment();  }  /**   * Sets nourishment.   *   * @param nourishment the nourishment   */,getNourishment
1177,  Mage <extra_id_0>();,createMage
3333,"  public void <extra_id_0>(GameObject gameObject, int e) {    gameObject.updateVelocity(WALK_ACCELERATION);    LOGGER.info(gameObject.getName() + "" has moved right."");  }",update
496,"  void <extra_id_0>() {    try {      var dataMap = new HashMap<Integer, Data>();      dataMap.put(1, data);      var field = Shard.class.getDeclaredField(""dataStore"");      field.setAccessible(true);      field.set(shard, dataMap);      shard.clearData();      dataMap = (HashMap<Integer, Data>) field.get(shard);      assertEquals(0, dataMap.size());    } catch (NoSuchFieldException | IllegalAccessException e) {      fail(""Fail to modify field access."");    }  }",testClearData
3681,  public void <extra_id_0>() {    if (cache != null) {      cache.clear();    }  }  /**   * Writes remaining content in the cache into the DB.   */,clearCache
979,"  void <extra_id_0>() {    var borrowerRole = new BorrowerRole();    borrowerRole.setName(""test"");    assertEquals(""Borrower test wants to get some money."", borrowerRole.borrow());  }",borrowTest
2819,"  public void <extra_id_0>(SpaceStationIss iss) {    LOGGER.info(AppConstants.HITS, iss.getClass().getSimpleName(), this.getClass().getSimpleName());  }",collisionResolve
754,"  void <extra_id_0>(Map<Integer, Bubble> allBubbles) {    LOGGER.info(""Bubble {} popped at ({},{})!"", this.id, this.coordinateX, this.coordinateY);    allBubbles.remove(this.id);  }",pop
832,"  void <extra_id_0>() throws Exception {    final var op = new FindCustomer(        ""123"",        new CustomerNotFoundException(""not found""),        new DatabaseNotAvailableException(""not available"")    );    try {      op.perform();    } catch (CustomerNotFoundException e) {      //ignore    }    try {      op.perform();    } catch (DatabaseNotAvailableException e) {      //ignore    }    assertThat(op.perform(), is(""123""));  }",resultAfterExceptions
2379,"  void <extra_id_0>(){    PersonDbSimulatorImplementation db = new PersonDbSimulatorImplementation();    Person person1 = new Person(1, ""Thomas"", 27304159);    Person person2 = new Person(2, ""John"", 42273631);    db.insert(person1);    db.insert(person2);    Assertions.assertEquals(person2,db.find(2),""Record that was found was incorrect."");  }  @Test",findInDb
788,  void <extra_id_0>() {    final var king = new King();    king.getFed();    king.getDrink();    king.receiveCompliments();    king.changeMood();    assertFalse(king.getMood());  }  @Test,testFedDrunkComplimentedKing
2689,"  public static void <extra_id_0>(String[] args) {    var dispatcher = new EventDispatcher();    dispatcher.registerHandler(UserCreatedEvent.class, new UserCreatedEventHandler());    dispatcher.registerHandler(UserUpdatedEvent.class, new UserUpdatedEventHandler());    var user = new User(""iluwatar"");    dispatcher.dispatch(new UserCreatedEvent(user));    dispatcher.dispatch(new UserUpdatedEvent(user));  }",main
2006,  public String <extra_id_0>() {    return name;  },getName
1426,"  void <extra_id_0>(S subject, A argument);",update
2938,      public String <extra_id_0>() {        return name;      },getName
3222,  public void <extra_id_0>() {    console.init();  },init
143,"    void <extra_id_0>() {      final var newRoomType = ""Double"";      final var newPrice = 80;      final var newBookingStatus = false;      assertThrows(Exception.class, () -> {        dao.update(new Room(existingRoom.getId(), newRoomType, newPrice, newBookingStatus));      });    }    @Test",updatingARoomFailsWithFeedbackToTheClient
30,    public boolean <extra_id_0>(String message) {      return log.stream().anyMatch(event -> event.getMessage().equals(message));    },logContains
3771,  public long <extra_id_0>() {    return remoteServiceStatusValue;  },getRemoteServiceStatusValue
2690,  public Class<? extends Event> <extra_id_0>() {    return getClass();  },getType
961,"  void <extra_id_0>() throws SQLException {    var resultSet = dataSource.getConnection().createStatement().executeQuery(""SELECT 1"");    var expected = ""1"";    String result = null;    while (resultSet.next()) {      result = resultSet.getString(1);    }    assertEquals(expected, result);  }",testQuery
642,"  public void <extra_id_0>() {    LOGGER.info(""Service {} is now executing with id {}"", getName(), getId());  }",execute
2061,"  void <extra_id_0>()      throws ExecutionException, InterruptedException {    // Arrange    CompletableFuture<Health> future = mock(CompletableFuture.class);    when(asynchronousHealthChecker.performCheck(any(Supplier.class), anyLong())).thenReturn(future);    // Simulate InterruptedException when future.get() is called    when(future.get()).thenThrow(new InterruptedException(""Health check interrupted""));    // Act    Health health = memoryHealthIndicator.health();    // Assert    assertEquals(Status.DOWN, health.getStatus());    String errorDetail = (String) health.getDetails().get(""error"");    assertNotNull(errorDetail);    assertTrue(errorDetail.contains(""Health check interrupted""));  }  /**   * Test case for the `health()` method when the health check execution fails.   *   * <p>Asserts that when the `health()` method is called and the health check execution fails, it   * returns a Health object with Status DOWN and an error detail indicating the failure.   */  @Test",whenHealthCheckIsInterrupted_thenHealthIsDown
1185,  public Beast <extra_id_0>() {    return beast.copy();  },createBeast
3800,"  void <extra_id_0>() {    app.createKingdom(Kingdom.FactoryMaker.KingdomType.ELF);    final var kingdom = app.getKingdom();    final var elfKing = kingdom.getKing();    assertTrue(elfKing instanceof ElfKing);    assertEquals(ElfKing.DESCRIPTION, elfKing.getDescription());    app.createKingdom(Kingdom.FactoryMaker.KingdomType.ORC);    final var orcKing = kingdom.getKing();    assertTrue(orcKing instanceof OrcKing);    assertEquals(OrcKing.DESCRIPTION, orcKing.getDescription());  }  @Test",verifyKingCreation
215,"  void <extra_id_0>() {    skeleton.patrollingLeft = false;    skeleton.setPosition(50);    skeleton.update();    assertEquals(51, skeleton.getPosition());  }  @Test",testUpdateForPatrollingRight
1406,  void <extra_id_0>() {    appender = new InMemoryAppender();  }  @AfterEach,setUp
2469,  Optional<E> <extra_id_0>();  /**   * Evaluates the iteration and leaves only the count last elements.   *   * @return the last counts elements as an Iterable   */,last
2755,"  public void <extra_id_0>() {    var eventManager = new EventManager();    var s = new Scanner(System.in);    var option = -1;    while (option != 4) {      LOGGER.info(""Hello. Would you like to boil some eggs?"");      LOGGER.info(""(1) BOIL AN EGG (2) STOP BOILING THIS EGG (3) HOW ARE MY EGGS? (4) EXIT"");      LOGGER.info(""Choose [1,2,3,4]: "");      option = s.nextInt();      if (option == 1) {        processOption1(eventManager, s);      } else if (option == 2) {        processOption2(eventManager, s);      } else if (option == 3) {        processOption3(eventManager, s);      } else if (option == 4) {        eventManager.shutdown();      }    }    s.close();  }",runInteractiveMode
774,  public boolean <extra_id_0>() {    return isHappy;  },getMood
341,    public BuildStep <extra_id_0>() {      return this;    }    @Override,noSpell
1562,"  void <extra_id_0>() {    var sarah = new User(""Sarah"", 42, Sex.FEMALE, ""sarah@det.org"");    var validated = Validator.of(sarah)        .validate(User::name, Objects::nonNull, ""name cannot be null"")        .validate(User::age, age -> age > 21, ""user is underage"")        .validate(User::sex, sex -> sex == Sex.FEMALE, ""user is not female"")        .validate(User::email, email -> email.contains(""@""), ""email does not contain @ sign"")        .get();    assertSame(validated, sarah);  }",testForValid
2653,"  void <extra_id_0>() {    if (file.delete()) {      LOGGER.info(""File cleared successfully............"");    }  }  /**   * Read domain event.   *   * @return the domain event.   */",reset
636,"  public void <extra_id_0>(Service newService) {    serviceCache.put(newService.getName(), newService);  }",addService
2110,    public void <extra_id_0>(Long id) {        this.id = id;    },setId
2871,"  public static void <extra_id_0>(String[] args) {    //Create 3 different units    var soldierUnit = new SoldierUnit(""SoldierUnit1"");    var sergeantUnit = new SergeantUnit(""SergeantUnit1"");    var commanderUnit = new CommanderUnit(""CommanderUnit1"");    //check for each unit to have an extension    checkExtensionsForUnit(soldierUnit);    checkExtensionsForUnit(sergeantUnit);    checkExtensionsForUnit(commanderUnit);  }",main
3225,  public T <extra_id_0>() {    return data;  },getData
2034,"  void <extra_id_0>() {    CompletableFuture<Health> future = new CompletableFuture<>();    when(asynchronousHealthChecker.performCheck(any(Supplier.class), eq(timeoutInSeconds)))        .thenReturn(future);    // Complete the future exceptionally to simulate a timeout    future.completeExceptionally(new RuntimeException(""Simulated timeout""));    Health health = healthIndicator.health();    // Check that the health status is DOWN due to timeout    assertEquals(Status.DOWN, health.getStatus());  }",whenHealthCheckTimesOut_thenHealthIsDown
2239,"  private static void <extra_id_0>() {    LOGGER.info("""");    LOGGER.info(""### Lottery Service Console ###"");    LOGGER.info(""(1) Query lottery account funds"");    LOGGER.info(""(2) Add funds to lottery account"");    LOGGER.info(""(3) Submit ticket"");    LOGGER.info(""(4) Check ticket"");    LOGGER.info(""(5) Exit"");  }",printMainMenu
3872,  Integer <extra_id_0>();,getProductInventories
3018,"  void <extra_id_0>(int x, int y);  /**   * Draw the pixel in (x, y).   *   * @param x X coordinate   * @param y Y coordinate   */",clear
1629,  private void <extra_id_0>() throws Exception {    throw new Exception(MESSAGE);  },methodThrowingException
1082,  void <extra_id_0>(boolean finished) {    this.finished = finished;  },setFinished
1794,"  protected void <extra_id_0>() {    LOGGER.info(""You can enter"");  }",enter
1251,"  void <extra_id_0>() {    List.of(""Gandalf"", ""Dumbledore"", ""Oz"", ""Merlin"")        .forEach(name -> assertEquals(name, new Wizard(name).toString()));  }",testToString
2285,"  public void <extra_id_0>(PlayerDetails details) {    LOGGER.error(""Lottery ticket for {} could not be submitted because the credit transfer""        + "" of 3 credits failed."", details.getEmail());  }",ticketSubmitError
1471,"  void <extra_id_0>() {    var albumPageAfterChanges = albumPage        .changeAlbumTitle(""25"")        .changeArtist(""Adele Laurie Blue Adkins"")        .changeAlbumYear(2015)        .changeAlbumRating(""B"")        .changeNumberOfSongs(20)        .saveChanges();    assertTrue(albumPageAfterChanges.isAt());  }  @Test",testSaveAlbum
3281,  void <extra_id_0>() {    //given    final var dataBus = DataBus.getInstance();    dataBus.subscribe(member);    dataBus.unsubscribe(member);    //when    dataBus.publish(event);    //then    then(member).should(never()).accept(event);  },publishedEventIsNotReceivedByMemberAfterUnsubscribing
2982,  private boolean <extra_id_0>(long fileLastModified) {    if (lastFetched != fileLastModified) {      lastFetched = fileLastModified;      return true;    }    return false;  }  /**   * Fetches data/content from raw file.   *   * @return List of strings   */,isDirty
3291,  public void <extra_id_0>(final DataType event) {    event.setDataBus(this);    listeners.forEach(listener -> listener.accept(event));  },publish
3073,"    void <extra_id_0>() throws SQLException {        when(customerDao.findByName(""customer"")).thenReturn(Optional.empty());        customer.save();        verify(customerDao, times(1)).save(customer);        when(customerDao.findByName(""customer"")).thenReturn(Optional.of(customer));        customer.save();        verify(customerDao, times(1)).update(customer);    }    @Test",shouldSaveCustomer
827,"  void <extra_id_0>() {    final var e = new BusinessException(""unhandled"");    final var retry = new RetryExponentialBackoff<String>(        () -> {          throw e;        },        2,        0    );    try {      retry.perform();    } catch (BusinessException ex) {      //ignore    }    assertThat(retry.errors(), hasItem(e));  }  /**   * No exceptions will be ignored, hence final number of attempts should be 1 even if we're asking   * it to attempt twice.   */  @Test",errors
1563,  public static <T> Validator<T> <extra_id_0>(T t) {    return new Validator<>(Objects.requireNonNull(t));  }  /**   * Checks if the validation is successful.   *   * @param validation one argument boolean-valued function that represents one step of validation.   *                   Adds exception to main validation exception list when single step validation   *                   ends with failure.   * @param message    error message when object is invalid   * @return this   */,of
295,  public void <extra_id_0>() {    method.steal();  },steal
46,  void <extra_id_0>() {    assertDoesNotThrow(() -> App.main(new String[]{}));  },shouldExecuteWithoutException
3741,"  public void <extra_id_0>() {    LOGGER.info(""The sword is unwielded."");    enchantment.onDeactivate();  }  @Override",unwield
3552,"  void <extra_id_0>() throws RemoteServiceException {    Assertions.assertThrows(RemoteServiceException.class, () -> {      var obj = new DelayedRemoteService();      obj.call();    });  }  /**   * Testing server started in past (2 seconds ago) and with a simulated delay of 1 second.   *   * @throws RemoteServiceException   */  @Test",testDefaultConstructor
2695,  public <E extends Event> void <extra_id_0>(E event) {    var handler = (Handler<E>) handlers.get(event.getClass());    if (handler != null) {      handler.onEvent(event);    }  },dispatch
967,"  void <extra_id_0>() {    var persons = repository.findAll(new PersonSpecifications.AgeBetweenSpec(20, 40));    assertEquals(3, persons.size());    assertTrue(persons.stream().allMatch(item -> item.getAge() > 20 && item.getAge() < 40));  }  @Test",testFindAllByAgeBetweenSpec
506,  public String <extra_id_0>() {    return value;  },getValue
501,"  public int <extra_id_0>(Data data) {    var shardId = allocateShard(data);    lookupMap.put(data.getKey(), shardId);    var shard = shardMap.get(shardId);    shard.storeData(data);    LOGGER.info(data.toString() + "" is stored in Shard "" + shardId);    return shardId;  }  @Override",storeData
216,"  void <extra_id_0>() {    skeleton.patrollingLeft = true;    skeleton.setPosition(1);    skeleton.update();    assertEquals(0, skeleton.getPosition());    assertFalse(skeleton.patrollingLeft);  }  @Test",testUpdateForReverseDirectionFromLeftToRight
3462,  default Finder <extra_id_0>(Finder orFinder) {    return txt -> {      List<String> res = this.find(txt);      res.addAll(orFinder.find(txt));      return res;    };  }  /**   * combinator and.   * @param andFinder finder to combine   * @return new finder including previous finders   */,or
2274,  void <extra_id_0>();,resetLottery
1531,  public static Queen <extra_id_0>() {    var queen = new Queen();    queen.setFlirtiness(true);    return queen;  }  /**   * Method to create a not flirty queen.   *   * @return A not flirty {@link com.iluwatar.objectmother.Queen}.   */,createFlirtyQueen
2041,"  void <extra_id_0>() {    // Arrange    when(entityManager.createNativeQuery(""SELECT 1"")).thenThrow(RuntimeException.class);    // Act & Assert    assertThrows(RuntimeException.class, () -> healthCheckRepository.checkHealth());  }  /**   * Test case for the `performTestTransaction()` method when the persist operation fails.   *   * <p>Asserts that when the `performTestTransaction()` method is called and the persist operation   * fails, it throws a RuntimeException.   */  @Test",whenCheckHealth_andDatabaseIsDown_thenThrowsException
68,"  public String <extra_id_0>() {    return ""commander"";  }",toString
494,"  void <extra_id_0>() {    data = new Data(1, ""test"", Data.DataType.TYPE_1);    shard = new Shard(1);  }  @Test",setup
1159,  void <extra_id_0>() {    assertDoesNotThrow(() -> App.main(new String[]{}));  },shouldExecuteApplicationWithoutException
864,"  public void <extra_id_0>() throws InterruptedException, IOException {    reactorMain.shutdown();    selector.wakeup();    if (!reactorMain.awaitTermination(4, TimeUnit.SECONDS)) {      reactorMain.shutdownNow();    }    selector.close();    LOGGER.info(""Reactor stopped"");  }  /**   * Registers a new channel (handle) with this reactor. Reactor will start waiting for events on   * this channel and notify of any events. While registering the channel the reactor uses {@link   * AbstractNioChannel#getInterestedOps()} to know about the interested operation of this channel.   *   * @param channel a new channel on which reactor will wait for events. The channel must be bound   *                prior to being registered.   * @return this   * @throws IOException if any I/O error occurs.   */",stop
290,"  void <extra_id_0>() throws Exception {    var groundDive = new GroundDive();    final var outputLog = getLogContent(        () -> groundDive.spawnParticles(""PARTICLE_TYPE"", 100));    final var expectedLog = ""Spawn 100 particle with type PARTICLE_TYPE"";    assertEquals(outputLog, expectedLog);  }  @Test",testSpawnParticles
1811,  public int <extra_id_0>() {    return this.workerId;  },getWorkerId
1175,"  public String <extra_id_0>() {    return ""Orcish warlord attacks with "" + weapon;  }",toString
676,  public Mass <extra_id_0>() {    return mass;  },getMass
3441,"    void <extra_id_0>() throws Exception {        for (double d = 0.1; d < 2; d = d + 0.1) {            paymentTime *= d;            queueTaskTime *= d;            messageTime *= d;            employeeTime *= d;            queueTime *= d;            Commander c = buildCommanderObjectWithDB();            var order = new Order(new User(""K"", null), ""pen"", 1f);            for (Order.MessageSent ms : Order.MessageSent.values()) {                c.placeOrder(order);                assertFalse(StringUtils.isBlank(order.id));            }        }    }    @Test",testPlaceOrderWithDatabase
1842,  public void <extra_id_0>(Task task) throws InterruptedException {    queue.put(task);  },addTask
1703,  public void <extra_id_0>(FileSelectorPresenter presenter) {    this.presenter = presenter;  }  @Override,setPresenter
319,"  void <extra_id_0>() {    final var method = spy(StealingMethod.class);    final var thief = new HalflingThief(method);    thief.steal();    verify(method).steal();    String target = verify(method).pickTarget();    verify(method).confuseTarget(target);    verify(method).stealTheItem(target);    verifyNoMoreInteractions(method);  }  /**   * Verify if the thief uses the provided stealing method, and the new method after changing it   */  @Test",testSteal
1259,  public String <extra_id_0>() {    return name;  },toString
3306,"  void <extra_id_0>() {    final var messenger = new Messenger();    testMessage(        messenger.messageFromOrcs(),        ""Where there is a whip there is a way.""    );  }  /**   * Test the message from the elves   */  @Test",testMessageFromOrcs
2797,  void <extra_id_0>(int id) throws Exception;  ,removeOrder
2213,"  void <extra_id_0>() {    gameLoop.stop();    Assertions.assertEquals(GameStatus.STOPPED, gameLoop.status);  }  @Test",testStop
1984,"  private void <extra_id_0>() {    setLayout(new BorderLayout());    var panel = new JPanel();    add(jl, BorderLayout.SOUTH);    add(panel, BorderLayout.CENTER);    panel.setLayout(new GridLayout(6, 2));    panel.add(new JLabel(""Name""));    panel.add(jtFields[0]);    panel.add(new JLabel(""Contact Number""));    panel.add(jtFields[1]);    panel.add(new JLabel(""Address""));    panel.add(jtAreas[0]);    panel.add(new JLabel(""Deposit Number""));    panel.add(jtFields[2]);    panel.add(new JLabel(""Order""));    panel.add(jtAreas[1]);    panel.add(clearButton);    panel.add(processButton);    clearButton.addActionListener(e -> {      Arrays.stream(jtAreas).forEach(i -> i.setText(""""));      Arrays.stream(jtFields).forEach(i -> i.setText(""""));    });    processButton.addActionListener(this::actionPerformed);    JRootPane rootPane = SwingUtilities.getRootPane(processButton);    rootPane.setDefaultButton(processButton);    setVisible(true);  }",setup
44,"  void <extra_id_0>() {    final var children = new Unit[5];    Arrays.setAll(children, (i) -> mock(Unit.class));    final var unit = this.factory.apply(children);    final var visitor = mock(UnitVisitor.class);    unit.accept(visitor);    verifyVisit(unit, visitor);    Arrays.stream(children).forEach(child -> verify(child).accept(eq(visitor)));    verifyNoMoreInteractions(children);    verifyNoMoreInteractions(visitor);  }  /**   * Verify if the correct visit method is called on the mock, depending on the tested instance.   *   * @param unit          The tested unit instance   * @param mockedVisitor The mocked {@link UnitVisitor} who should have gotten a visit by the unit   */",testAccept
352,"  void <extra_id_0>() {    final var character = CharacterStepBuilder.newBuilder()        .name(""Weak warrior"")        .fighterClass(""none"")        .withWeapon(""Slingshot"")        .noAbilities()        .build();    assertEquals(""Weak warrior"", character.getName());    assertEquals(""none"", character.getFighterClass());    assertEquals(""Slingshot"", character.getWeapon());    assertNull(character.getAbilities());    assertNotNull(character.toString());  }",testBuildWeakWarrior
2643,"  void <extra_id_0>() {    var user = new User(""Free User"");    UserGroup.addUserToFreeGroup(user);    assertFalse(UserGroup.isPaid(user));  }  @Test",testAddUserToFreeGroup
403,    public void <extra_id_0>() {        System.setOut(new PrintStream(outContent));    }    @AfterEach,setUpStreams
2276,"  public void <extra_id_0>() {    var numbers = administration.performLottery();    logger.info(""The winning numbers: {}"", numbers.getNumbersAsString());    logger.info(""Time to reset the database for next round, eh?"");  }  @Override",performLottery
3251,  List<Book> <extra_id_0>(String username);,getAuthorBooks
2509,  public static <E> FluentIterable<E> <extra_id_0>(Iterable<E> iterable) {    return new LazyFluentIterable<>(iterable);  },from
3739,"  public void <extra_id_0>() {    LOGGER.info(""The sword is wielded."");    enchantment.onActivate();  }  @Override",wield
3314,  public void <extra_id_0>(LetterComposite letter) {    children.add(letter);  },add
2015,  public void <extra_id_0>(String order) {    this.orderItem = order;  },setOrderItem
